"","age","levels","gender","place"
"125",22,"Інтерн",1,"м. Львів"
"126",23,"Інтерн",1,"м. Львів"
"127",23,"Інтерн",1,"Не вказано"
"128",24,"Інтерн",1,"Львівська область"
"129",23,"Інтерн",1,"м. Львів"
"130",21,"Інтерн",1,"Не вказано"
"131",21,"Інтерн",2,"м. Львів"
"132",23,"Інтерн",2,"м. Львів"
"133",23,"Інтерн",2,"м. Львів"
"134",23,"Інтерн",1,"Не вказано"
"135",23,"Інтерн",2,"м. Львів"
"136",23,"Інтерн",1,"Не вказано"
"137",23,"Інтерн",1,"Не вказано"
"138",23,"Інтерн",2,"Не вказано"
"139",46,"Лікар-спеціаліст",1,"м. Львів"
"140",47,"Лікар-спеціаліст",2,"м. Львів"
"141",25,"Інтерн",2,"м. Львів"
"142",25,"Інтерн",2,"м. Львів"
"143",24,"Інтерн",1,"Інші нас. пункти"
"144",24,"Інтерн",1,"Інші нас. пункти"
"145",25,"Інтерн",1,"Інші нас. пункти"
"146",47,"Лікар-спеціаліст",2,"м. Львів"
"147",25,"Інтерн",2,"Не вказано"
"148",25,"Інтерн",1,"м. Львів"
"149",24,"Інтерн",2,"Інші нас. пункти"
"150",23,"Інтерн",1,"Інші нас. пункти"
"151",23,"Інтерн",2,"Не вказано"
"152",27,"Інтерн",1,"Інші нас. пункти"
"153",24,"Інтерн",1,"м. Львів"
"154",23,"Інтерн",1,"Інші нас. пункти"
"155",25,"Інтерн",1,"Інші нас. пункти"
"156",23,"Інтерн",1,"Не вказано"
"157",23,"Інтерн",2,"Не вказано"
"158",23,"Інтерн",1,"м. Львів"
"159",24,"Інтерн",1,"Не вказано"
"160",24,"Інтерн",1,"Інші нас. пункти"
"161",24,"Інтерн",1,"Львівська область"
"162",22,"Інтерн",1,"м. Львів"
"163",24,"Інтерн",1,"м. Львів"
"164",24,"Інтерн",1,"м. Львів"
"165",24,"Інтерн",1,"м. Львів"
"166",24,"Інтерн",1,"м. Львів"
"167",23,"Інтерн",1,"м. Львів"
"168",24,"Інтерн",2,"Інші нас. пункти"
"169",24,"Інтерн",2,"Інші нас. пункти"
"170",51,"Лікар-спеціаліст",1,"Львівська область"
"171",49,"Лікар-спеціаліст",2,"Львівська область"
"172",59,"Лікар-спеціаліст",1,"м. Львів"
"173",42,"Лікар-спеціаліст",1,"м. Львів"
"174",31,"Лікар-спеціаліст",1,"м. Львів"
"175",27,"Інтерн",2,"м. Львів"
"176",25,"Інтерн",2,"Інші нас. пункти"
"177",24,"Інтерн",2,"Інші нас. пункти"
"178",24,"Інтерн",2,"м. Львів"
"179",48,"Лікар-спеціаліст",1,"Львівська область"
"180",45,"Лікар-спеціаліст",1,"Львівська область"
"181",50,"Лікар-спеціаліст",1,"м. Львів"
"182",23,"Інтерн",1,"Інші нас. пункти"
"183",23,"Інтерн",1,"Не вказано"
"184",25,"Інтерн",1,"м. Львів"
"185",26,"Інтерн",1,"м. Львів"
"186",25,"Інтерн",1,"м. Львів"
"187",25,"Інтерн",1,"м. Львів"
"188",28,"Інтерн",1,"м. Львів"
"189",26,"Інтерн",1,"м. Львів"
"190",26,"Інтерн",1,"м. Львів"
"191",26,"Інтерн",1,"Львівська область"
"192",25,"Інтерн",2,"Не вказано"
"193",26,"Інтерн",2,"Інші нас. пункти"
"194",26,"Інтерн",2,"м. Львів"
"195",26,"Інтерн",1,"м. Львів"
"196",26,"Інтерн",1,"м. Львів"
"197",25,"Інтерн",2,"Інші нас. пункти"
"198",29,"Інтерн",1,"Не вказано"
"199",22,"Інтерн",2,"м. Львів"
"200",31,"Лікар-спеціаліст",2,"Не вказано"
"201",24,"Інтерн",1,"м. Львів"
